år,veckonummer,Antal_fall_vecka,Antal_fall_100000inv_vecka,Antal_fall_100000inv_14dagar,Kum_antal_fall,Kum_fall_100000inv,Antal_nyaintensivvårdade_vecka,Kum_antal_intensivvårdade,Antal_avlidna_vecka,Antal_avlidna_milj_inv_vecka,Kum_antal_avlidna,Kum_antal_avlidna_milj_inv
2020,6,1,0,0,1,0,0,0,0,0,0,0
2020,7,0,0,0,1,0,0,0,0,0,0,0
2020,8,0,0,0,1,0,0,0,0,0,0,0
2020,9,13,0,0,14,0,0,0,0,0,0,0
2020,10,211,2,2,225,2,3,3,0,0,0,0
2020,11,838,8,10,1063,10,16,19,5,1,5,1
2020,12,924,9,17,1987,19,88,107,44,4,49,5
2020,13,1957,19,28,3944,38,238,345,190,18,239,23
2020,14,3229,31,50,7173,69,277,622,451,44,690,67
2020,15,3740,36,67,10913,106,289,911,664,64,1354,131
2020,16,3752,36,72,14665,142,250,1161,657,64,2011,195
2020,17,4203,41,77,18868,183,238,1399,546,53,2557,248
2020,18,3832,37,78,22700,220,188,1587,543,53,3100,300
2020,19,4153,40,77,26853,260,156,1743,509,49,3609,350
2020,20,3869,37,77,30722,297,124,1867,380,37,3989,386
2020,21,3659,35,72,34381,333,111,1978,360,35,4349,421
2020,22,4280,41,76,38661,374,122,2100,272,26,4621,447
2020,23,6021,58,99,44682,433,123,2223,246,24,4867,471
2020,24,7123,69,127,51805,502,90,2313,234,23,5101,494
2020,25,7073,68,137,58878,570,74,2387,200,19,5301,513
2020,26,7455,72,140,66333,642,56,2443,138,13,5439,527
2020,27,4279,41,113,70612,684,34,2477,98,10,5537,536
2020,28,2179,21,62,72791,705,14,2491,84,8,5621,544
2020,29,1622,16,37,74413,721,14,2505,57,6,5678,550
2020,30,1316,13,29,75729,733,12,2517,30,3,5708,553
2020,31,1556,15,28,77285,748,11,2528,18,2,5726,554
2020,32,2014,20,35,79299,768,16,2544,18,2,5744,556
2020,33,2052,20,40,81351,788,13,2557,16,2,5760,558
2020,34,1687,16,36,83038,804,8,2565,19,2,5779,560
2020,35,1200,12,28,84238,816,7,2572,10,1,5789,561
2020,36,1332,13,25,85570,829,8,2580,12,1,5801,562
2020,37,1592,15,28,87162,844,8,2588,13,1,5814,563
2020,38,2080,20,35,89242,864,7,2595,12,1,5826,564
2020,39,2919,28,48,92161,892,8,2603,11,1,5837,565
2020,40,3642,35,63,95803,928,14,2617,17,2,5854,567
2020,41,4278,41,76,100081,969,22,2639,22,2,5876,569
2020,42,5620,54,95,105701,1023,19,2658,16,2,5892,571
2020,43,9155,89,143,114856,1112,37,2695,43,4,5935,575
2020,44,18474,179,268,133330,1291,59,2754,82,8,6017,583
2020,45,25405,246,425,158735,1537,110,2864,157,15,6174,598
2020,46,31319,303,549,190054,1840,120,2984,235,23,6409,621
2020,47,31944,309,612,221998,2150,153,3137,332,32,6741,653
2020,48,35560,344,653,257558,2494,170,3307,417,40,7158,693
2020,49,36837,357,701,294395,2851,166,3473,476,46,7634,739
2020,50,43631,422,779,338026,3273,165,3638,501,49,8135,788
2020,51,46177,447,869,384203,3720,187,3825,645,63,8780,850
2020,52,37134,360,807,421337,4080,206,4031,643,62,9423,912
2020,53,41323,400,760,462660,4480,234,4265,663,64,10086,977
2021,1,39450,380,780,502110,4838,185,4450,644,62,10730,1034
2021,2,28938,279,659,531048,5116,153,4603,598,58,11328,1091
2021,3,23226,224,503,554274,5340,125,4728,513,49,11841,1141
2021,4,20656,199,423,574930,5539,109,4837,389,38,12230,1178
2021,5,19605,189,388,594535,5728,105,4942,269,26,12499,1204
2021,6,21283,205,394,615818,5933,105,5047,205,20,12704,1224
2021,7,23615,228,433,639433,6161,109,5156,172,17,12876,1241
2021,8,26689,257,485,666122,6418,133,5289,146,14,13022,1255
2021,9,27743,267,524,693865,6685,135,5424,128,12,13150,1267
2021,10,28556,275,542,722421,6960,150,5574,141,14,13291,1281
2021,11,33032,318,593,755453,7278,166,5740,127,12,13418,1293
2021,12,37880,365,683,793333,7643,176,5916,126,12,13544,1305
2021,13,38386,370,735,831719,8013,219,6135,142,14,13686,1319
2021,14,41144,396,766,872863,8410,250,6385,133,13,13819,1331
2021,15,41035,395,791,913898,8805,246,6631,141,14,13960,1345
2021,16,36032,347,742,949930,9152,211,6842,131,13,14091,1358
2021,17,35306,340,687,985236,9492,206,7048,115,11,14206,1369
2021,18,33680,324,664,1018916,9817,181,7229,107,10,14313,1379
2021,19,25914,250,574,1044830,10066,118,7347,111,11,14424,1390
2021,20,18169,175,425,1062999,10242,87,7434,69,7,14493,1396
2021,21,7974,77,252,1070973,10318,60,7494,47,5,14540,1401
2021,22,9094,88,165,1080067,10406,29,7523,39,4,14579,1405
2021,23,4394,42,130,1084461,10448,32,7555,22,2,14601,1407
2021,24,2848,27,69,1087309,10476,11,7566,17,2,14618,1408
2021,25,1983,19,46,1089292,10495,15,7581,9,1,14627,1409
2021,26,1870,18,37,1091162,10513,4,7585,8,1,14635,1410
2021,27,1514,15,33,1092676,10527,7,7592,3,0,14638,1410
2021,28,1883,18,33,1094559,10546,10,7602,2,0,14640,1411
2021,29,2662,26,44,1097221,10571,6,7608,3,0,14643,1411
2021,30,3460,33,59,1100681,10605,13,7621,4,0,14647,1411
2021,31,4608,44,77,1105289,10649,19,7640,7,1,14654,1412
2021,32,5819,56,100,1111108,10705,22,7662,6,1,14660,1412
2021,33,6463,62,118,1117571,10767,24,7686,11,1,14671,1414
2021,34,6688,64,126,1124259,10832,36,7722,20,2,14691,1415
2021,35,7238,70,134,1131497,10901,47,7769,25,2,14716,1418
2021,36,7969,77,147,1139466,10978,29,7798,49,5,14765,1423
2021,37,6261,60,137,1145727,11039,24,7822,51,5,14816,1428
2021,38,4303,41,101,1150030,11080,21,7843,43,4,14859,1432
2021,39,4232,41,82,1154262,11121,18,7861,39,4,14898,1435
2021,40,4138,40,81,1158400,11161,15,7876,49,5,14947,1440
2021,41,4068,39,79,1162468,11200,14,7890,32,3,14979,1443
2021,42,5193,50,89,1167661,11250,15,7905,22,2,15001,1445
2021,43,5911,57,107,1173572,11307,16,7921,30,3,15031,1448
2021,44,5060,49,106,1178632,11356,17,7938,33,3,15064,1451
2021,45,5820,56,105,1184452,11412,22,7960,31,3,15095,1454
2021,46,7094,68,124,1191546,11480,13,7973,29,3,15124,1457
2021,47,11914,115,183,1203460,11595,35,8008,15,1,15139,1459
2021,48,13800,133,248,1217260,11728,32,8040,29,3,15168,1461
2021,49,18650,180,313,1235910,11907,46,8086,37,4,15205,1465
2021,50,24537,236,416,1260447,12144,65,8151,45,4,15250,1469
2021,51,28046,270,506,1288493,12414,59,8210,41,4,15291,1473
2021,52,59450,573,843,1347943,12987,77,8287,63,6,15354,1479
2022,1,124211,1197,1770,1472154,14184,61,8348,62,6,15416,1485
